2018-01-17 22:10:19,080 - gnome-terminal-
2018-01-17 22:10:20,094 - gnome-terminal-
2018-01-17 22:10:21,109 - geany
2018-01-17 22:10:22,125 - geany
2018-01-17 22:10:23,142 - geany
2018-01-17 22:10:24,151 - geany
2018-01-17 22:10:25,167 - geany
2018-01-17 22:10:26,181 - chrome
2018-01-17 22:10:27,197 - chrome
2018-01-17 22:10:28,206 - chrome
2018-01-17 22:10:29,220 - chrome
2018-01-17 22:10:30,236 - chrome
2018-01-17 22:10:31,253 - chrome
2018-01-17 22:10:32,265 - chrome
2018-01-17 22:10:33,275 - chrome
2018-01-17 22:10:34,284 - chrome
2018-01-17 22:10:35,293 - chrome
2018-01-17 22:10:36,304 - chrome
2018-01-17 22:10:37,317 - chrome
2018-01-17 22:10:38,328 - chrome
2018-01-17 22:10:39,343 - chrome
2018-01-17 22:10:40,356 - chrome
2018-01-17 22:10:41,366 - chrome
2018-01-17 22:10:42,378 - chrome
2018-01-17 22:10:43,391 - chrome
2018-01-17 22:10:44,404 - chrome
2018-01-17 22:10:45,413 - chrome
2018-01-17 22:10:46,427 - chrome
2018-01-17 22:10:47,442 - chrome
2018-01-17 22:10:48,457 - chrome
2018-01-17 22:10:49,471 - chrome
2018-01-17 22:10:50,480 - chrome
2018-01-17 22:10:51,497 - chrome
2018-01-17 22:10:52,511 - chrome
2018-01-17 22:10:53,527 - chrome
2018-01-17 22:10:54,536 - chrome
2018-01-17 22:10:55,547 - chrome
2018-01-17 22:10:56,556 - chrome
2018-01-17 22:10:57,567 - chrome
2018-01-17 22:10:58,578 - chrome
2018-01-17 22:10:59,589 - chrome
2018-01-17 22:11:00,605 - chrome
2018-01-17 22:11:01,619 - chrome
2018-01-17 22:11:02,633 - gnome-terminal-
2018-01-17 22:11:03,643 - gnome-terminal-
2018-01-17 22:11:04,660 - gnome-terminal-
2018-01-17 22:11:05,675 - geany
2018-01-17 22:11:06,692 - geany
2018-01-17 22:11:07,704 - geany
2018-01-17 22:11:08,722 - geany
2018-01-17 22:11:09,738 - geany
2018-01-17 22:11:10,757 - geany
2018-01-17 22:11:39,911 - gnome-terminal-
